year,num,pref,pop.1000,GRP.mill,agriculture,wood,mine,machine,chemical,Smachine,miscind,special,total
2010,23,Aichi,7411,32443656,8015080,837094,12039037,77377356,57489151,18053147,10360528,19360509,203531902
2010,24,Mie,1855,7207157,1297599,556706,19545403,6733359,39511774,3463487,1211523,1360567,73680418
2010,25,Shiga,1411,5825494,359748,1446609,3877415,6771605,11913102,3060875,1506650,928671,29864675
2010,26,Kyoto,2636,9650795,1991881,513548,9324527,2438021,7746804,5790816,1738768,1144480,30688845
2010,27,Osaka,8865,36649230,6885899,1051770,7417381,38946822,50092546,13437084,9097629,14317785,141246916
2010,28,Hyougo,5588,18394905,6954822,1723441,17719380,23674165,30572131,11753946,2578163,6709790,101685838
2010,29,Nara,1401,3469586,745791,269781,1832191,1724593,3377001,1010966,1177005,252607,10389935
2010,30,Wakayama,1002,3330256,460902,275437,1267955,6714685,14029748,1384560,290003,533518,24956808
2010,31,Tottori,589,1837929,501193,179246,2176921,539280,2274018,1318679,610170,432425,8031932
2010,32,Shimane,717,2326852,270555,124270,6707801,750280,3662258,576308,467760,419685,12978917
2010,33,Okayama,1945,7144667,3070444,810078,21342474,15452624,32868353,4279338,2501132,6439564,86764007
2010,34,Hiroshima,2861,10555529,2659499,1156229,8649930,27827587,13643568,6272266,2229108,2603373,65041560
2010,35,Yamaguchi,1451,5544566,1380233,550292,21145692,9876941,37255595,1855103,991998,2984555,76040409
2010,36,Tokushima,785,2748416,721101,52361,2651504,834368,4312864,2056335,1373104,620907,12622544
2010,37,Kagawa,996,3680639,1193401,251677,8325409,3455435,16365749,2033182,1093973,2022711,34741537
2010,38,Ehime,1431,4659125,1120975,535572,7063685,4466367,15895339,6469821,1032965,1871118,38455842
2010,39,Kouchi,764,2214252,702228,164171,15331336,733442,7957844,797750,170182,182650,26039603
2010,40,Fukuoka,5072,17491962,7224795,626927,18864029,20155832,44428230,9381109,5727030,5661782,112069734
2010,41,Saga,850,2663545,1494011,180647,1808801,1732218,4024439,3114613,2037043,793824,15185596
2010,42,Nagasaki,1427,4297381,1275742,158328,5955548,2578796,4447436,1026417,189748,1139224,16771239
2010,43,Kumamoto,1817,5366700,1866018,386819,8133254,3192049,8413512,2657347,708090,1806315,27163404
2010,44,Ooita,1197,3994123,562774,364548,12659196,10081133,24757744,1898472,262520,4612260,55198647
2010,45,Miyazaki,1135,3464883,1390675,564158,4205433,1115006,5564753,1964448,526636,2070324,17401433
2010,46,Kagoshima,1706,5348792,6417234,130718,7598263,2343896,5930900,2293778,528195,6321045,31564029
2010,47,Okinawa,1393,3691823,725146,10991,6050858,1134884,10539924,1776139,308130,660183,21206255
2015,1,Hokkaido,5382,18484615,12188386,797494,45767693,7723757,37454832,11821721,2582484,6133149,124469516
2015,2,Aomori,1308,4427910,2929534,917500,12753403,1912968,5097215,1622029,689143,4028770,29950562
2015,3,Iwate,1280,4647038,1472170,482637,14135837,2343296,9893201,1162904,546957,1209265,31246267
2015,4,Miyagi,2334,8895851,2452522,796310,12051468,13026262,18070440,5507197,1234360,2789345,55927904
2015,5,Akita,1023,3458566,740697,302720,5256099,895460,4679067,1115680,525424,557695,14072842
2015,6,Yamagata,1124,3754564,721882,276573,2763578,1114095,6323119,1661610,338866,761987,13961710
2015,7,Fukushima,1914,7399862,1306678,418230,18845419,3457613,13349676,3388610,2397271,1261557,44425054
2015,8,Ibaraki,2917,11612394,6910638,407392,20849176,16714240,31081057,6229687,1809925,14680610,98682725
2015,9,Tochigi,1974,8182902,1147639,434399,23849457,7668530,10189249,3664191,2732017,1209745,50895227
2015,10,Gunma,1973,8005480,1655873,302030,7120913,8497102,10726253,7087932,1766746,2193443,39350292
2015,11,Saitama,7267,20914429,3986545,1060390,14468342,10329471,32899214,11864967,6029582,4113025,84751536
2015,12,Chiba,6223,20044937,4588249,280839,14627992,28255565,93126549,8057092,1541319,7332287,157809892
2015,13,Tokyo,13515,94902086,12835588,1301967,8456317,14495312,18903715,22604346,7125690,8982082,94705017
2015,14,Kanagawa,9126,30322048,9576216,144157,8625906,20744845,76009735,12408809,10172401,5899674,143581743
2015,15,Niigata,2304,8699072,1929009,2011009,15036849,7014385,13428453,6855998,2075972,1467039,49818714
2015,16,Toyama,1066,4452554,882296,382941,3308736,5525014,11678245,2307453,478377,518842,25081904
2015,17,Ishikawa,1154,4588046,956053,144181,6014558,2227115,3810119,1991078,904203,627683,16674990
2015,18,Fukui,787,3129992,262210,121843,3231187,1666965,4789893,1054568,448019,433089,12007774
2015,19,Yamanashi,835,3118690,473209,749930,5235997,1235983,2533019,1646007,247731,437942,12559818
2015,20,Nagano,2099,7886952,1788272,722277,10956398,4678663,4998047,3960470,1515913,540144,29160184
2015,21,Gifu,2032,7208829,741505,323140,25151447,4430279,10811310,3960321,1234313,1956104,48608419
2015,22,Shizuoka,3700,15442514,5233122,1139679,9870393,13182261,17169378,16637305,3629011,7462137,74323286
2015,23,Aichi,7483,35990293,9088984,5305774,17824195,61901368,57648231,13837574,9104006,15454985,190165117
2015,24,Mie,1816,7656376,1705077,3021225,14564934,6249179,39248240,2455046,1947821,1172229,70363751
2015,25,Shiga,1413,5845873,698423,55340,1670579,5457155,16247973,2305981,955390,968934,28359775
2015,26,Kyoto,2610,10053754,2293572,283866,5498935,3173647,6356652,4030056,1709957,1106526,24453211
2015,27,Osaka,8839,37933987,9298753,2402184,5842552,39785550,49006530,14321836,7225467,5970278,133853150
2015,28,Hyougo,5535,19788071,8365595,1444424,13609257,26670128,32014511,13699598,6081645,9921524,111806682
2015,29,Nara,1364,3540714,490238,375767,984920,1386891,3446911,898608,951464,410789,8945588
