year,month,mileage,daily_km,hybrid,displace_cc,weight_kg,age_month,temp_ave,gasprice,pop_density
2006,12,12.36,15.1,0,1330,1265,54,7.1,137,277
2006,12,11.51,38.2,0,1330,1195,117,8,132.65,273
2006,12,9.76,12.4,0,1340,1195,81,7.5,136,197
2006,12,10.14,7.6,0,1340,1195,68,1.2,134.75,65
2006,12,13.12,8.7,0,1380,1225,49,7.9,134.85,338
2006,12,18.25,34.6,1,1490,1545,39,8.5,133.3,322
2006,12,8.76,14.5,0,1490,1425,22,8,132.65,273
2006,12,6.2,2.3,0,1490,1415,89,9.1,134.425,4656
2006,12,10.74,9.3,0,1490,1375,36,8.5,133.3,322
2006,12,10.95,29,0,1490,1465,30,7.9,134.85,338
2006,12,8.23,16.5,0,1490,1325,122,6.6,130.125,489
2006,12,21.9,7.7,1,1490,1515,82,7,129.1,1923
2006,12,13.15,8.6,0,1490,1335,17,9.1,134.425,4656
2006,12,15.26,11.2,1,1490,1525,31,7.6,136.025,1448
2006,12,17.46,16,1,1490,1565,30,9.1,134.425,4656
2006,12,15.7,25.8,1,1490,1565,25,3.2,133.775,122
2006,12,15.87,14.8,1,1490,1535,11,8,132.65,273
2006,12,26.02,11.5,1,1490,1495,67,-0.5,134.75,65
2006,12,10.73,29.4,0,1490,1375,29,8,132.65,273
2006,12,22.29,37.7,1,1490,1495,66,9.2,131.8,3774
2006,12,17.29,24.9,1,1490,1525,37,8.9,138.375,251
2006,12,12.12,19,0,1660,1465,68,9.5,137.075,6069
2006,12,6.89,10.8,0,1760,1605,89,7.1,133.075,166
2006,12,9.24,50.3,0,1780,1565,82,8,132.65,273
2006,12,10.34,35.3,0,1790,1425,9,7,137.275,105
2006,12,8.55,23.5,0,1830,1445,126,7.9,134.85,338
2006,12,12,22.9,0,1830,1525,69,3.2,133.775,122
2006,12,3.28,4.4,0,1830,1565,77,9.2,133.625,671
2006,12,8.6,92,0,1970,1980,109,7,137.275,105
2006,12,7.12,10.2,0,1990,1585,147,8,132.65,273
2006,12,10.22,20.4,0,1990,1725,50,0.6,134.75,65
2006,12,4.47,2.3,0,1990,1605,126,9.5,137.075,6069
2006,12,11.79,18.3,0,1990,1940,27,8.9,138.375,251
2006,12,8.07,6.9,0,2350,1645,70,7,129.1,1923
2006,12,7.4,18.5,0,2350,2085,53,7.1,137,277
2006,12,11.64,47.5,1,2360,2265,48,9.2,133.625,671
2006,12,8.19,18.5,0,2490,1685,123,11.6,142.7,184
2006,12,7.61,19.5,0,2490,1835,133,6.3,133.875,256
2006,12,5.51,4,0,2950,1815,134,-0.5,134.75,65
2006,12,7.65,15.5,0,2990,1875,32,7.5,136,197
2006,12,6.8,15.1,0,2990,1745,130,2.4,139.3,158
2006,12,9.59,37.8,0,2990,1895,45,7.9,134.85,338
2006,12,5.33,8,0,3490,2265,70,7,129.1,1923
2007,1,11.43,17,0,650,1000,34,6.7,131.46,536
2007,1,17.82,33.7,0,650,900,171,0.6,132.34,85
2007,1,14.91,25,0,650,850,144,8,135.78,487
2007,1,11.46,22.9,0,650,1040,80,6.2,130.94,273
2007,1,12.53,120.7,0,650,1060,85,4.9,126.56,316
2007,1,7.3,6.2,0,650,1160,87,7.5,133.3,4656
2007,1,8.65,16,0,650,1110,127,6.1,134.66,1448
2007,1,8.7,28.6,0,650,1010,109,-1.8,133.44,65
2007,1,10,2.5,0,990,1115,92,5.2,134.4,234
2007,1,12.83,6.2,0,990,1135,81,8,135.78,487
2007,1,13.53,51.6,0,1290,1315,40,7.6,132.8,1027
2007,1,9.95,34.5,0,1290,1275,21,5.2,134.4,234
2007,1,1,11.8,0,1320,1175,32,5.2,134.4,234
2007,1,14.39,31.4,0,1330,1275,35,7.5,133.3,4656
2007,1,3.07,5.1,0,1330,1105,165,-4,133.44,65
2007,1,15.33,9.2,0,1340,1175,80,5.1,130.6,166
2007,1,13.2,33.7,0,1380,1335,43,5.2,134.4,234
2007,1,11.25,32,0,1380,1405,32,0.6,132.34,85
2007,1,10.13,23.1,0,1380,1345,46,6.2,130.94,273
2007,1,9.24,9.1,0,1460,1295,82,-1.8,133.44,65
2007,1,12.96,35,0,1460,1275,103,6.2,133.62,338
2007,1,10.45,15.8,0,1490,1395,71,6.1,134.66,1448
2007,1,12.54,2.4,0,1490,1245,170,6.2,133.62,338
2007,1,17.61,25.4,1,1490,1565,36,6.2,133.62,338
2007,1,6.1,32.8,0,1490,1735,33,4.9,133.98,186
2007,1,20.25,46.9,1,1490,1525,17,7,131.64,322
2007,1,14.18,19.9,0,1490,1265,134,5.1,130.6,166
2007,1,10.35,15.5,0,1490,1385,93,4.9,133.98,186
2007,1,11.08,16.4,0,1490,1215,84,7.5,133.3,4656
2007,1,10.52,12.1,0,1490,1345,77,4.9,126.56,316
2007,1,15.85,8.9,1,1490,1535,13,7.3,130.42,3774
2007,1,15.83,68.9,1,1490,1535,13,6.2,130.94,273
2007,1,19.92,46.4,1,1490,1525,30,5.1,135.84,277
2007,1,15.86,29.1,1,1490,1565,16,7.6,134.6,187
2007,1,9.27,11.1,0,1490,1405,58,6.2,133.62,338
2007,1,14.98,22.5,1,1490,1545,29,6.1,134.66,1448
2007,1,12.71,41.2,0,1490,1535,40,7.6,136.14,6069
2007,1,15.3,55.6,1,1490,1495,68,4.5,132.62,192
2007,1,12.49,20.8,0,1490,1315,69,6.2,130.94,273
2007,1,12.08,197.5,0,1490,1375,39,3.8,131.42,320
2007,1,9.76,2.7,0,1490,1375,58,7.5,132.38,671
2007,1,13.4,35,0,1490,1375,40,6.2,133.62,338
2007,1,15.33,15.1,1,1490,1545,24,7.1,137.3,251
2007,1,7.4,22.8,0,1580,1325,72,6.2,133.62,338
2007,1,12.29,25.1,0,1660,1525,74,3.3,134,143
2007,1,7.98,16.2,0,1830,1505,145,6.2,130.94,273
2007,1,9.66,14.9,0,1830,1525,71,6.2,133.62,338
2007,1,8.71,23.4,0,1970,1900,128,17.8,133.16,637
2007,1,6.9,11.8,0,1990,1910,55,5.2,134.4,234
2007,1,6.65,21,0,1990,2140,14,4.9,133.98,186
