year,num,prefecture,pop.1000,GRP.mill,goods,ton
2000,31,Tottori,613,2193123,chemical,5614094
2000,31,Tottori,613,2193123,Smachine,1416067
2000,31,Tottori,613,2193123,miscind,408809
2000,31,Tottori,613,2193123,special,334695
2000,31,Tottori,613,2193123,total,13558663
2000,32,Shimane,762,2604651,agriculture,309175
2000,32,Shimane,762,2604651,wood,292892
2000,32,Shimane,762,2604651,mine,11459777
2000,32,Shimane,762,2604651,machine,1205364
2000,32,Shimane,762,2604651,chemical,5703402
2000,32,Shimane,762,2604651,Smachine,670718
2000,32,Shimane,762,2604651,miscind,2304576
2000,32,Shimane,762,2604651,special,894504
2000,32,Shimane,762,2604651,total,22840408
2000,33,Okayama,1951,7525002,agriculture,2826433
2000,33,Okayama,1951,7525002,wood,812607
2000,33,Okayama,1951,7525002,mine,30984024
2000,33,Okayama,1951,7525002,machine,19657097
2000,33,Okayama,1951,7525002,chemical,45727174
2000,33,Okayama,1951,7525002,Smachine,4330274
2000,33,Okayama,1951,7525002,miscind,1472293
2000,33,Okayama,1951,7525002,special,4082647
2000,33,Okayama,1951,7525002,total,109892549
2000,34,Hiroshima,2879,11375854,agriculture,2842689
2000,34,Hiroshima,2879,11375854,wood,2157514
2000,34,Hiroshima,2879,11375854,mine,17683275
2000,34,Hiroshima,2879,11375854,machine,29676068
2000,34,Hiroshima,2879,11375854,chemical,17402059
2000,34,Hiroshima,2879,11375854,Smachine,6227862
2000,34,Hiroshima,2879,11375854,miscind,2420860
2000,34,Hiroshima,2879,11375854,special,2605101
2000,34,Hiroshima,2879,11375854,total,81015428
2000,35,Yamaguchi,1528,5735688,agriculture,1390474
2000,35,Yamaguchi,1528,5735688,wood,1127186
2000,35,Yamaguchi,1528,5735688,mine,15724710
2000,35,Yamaguchi,1528,5735688,machine,5971485
2000,35,Yamaguchi,1528,5735688,chemical,60008785
2000,35,Yamaguchi,1528,5735688,Smachine,3055406
2000,35,Yamaguchi,1528,5735688,miscind,760556
2000,35,Yamaguchi,1528,5735688,special,2384057
2000,35,Yamaguchi,1528,5735688,total,90422659
2000,36,Tokushima,824,2776944,agriculture,1007389
2000,36,Tokushima,824,2776944,wood,344662
2000,36,Tokushima,824,2776944,mine,4448531
2000,36,Tokushima,824,2776944,machine,652795
2000,36,Tokushima,824,2776944,chemical,8369423
2000,36,Tokushima,824,2776944,Smachine,3210053
2000,36,Tokushima,824,2776944,miscind,863314
2000,36,Tokushima,824,2776944,special,1304408
2000,36,Tokushima,824,2776944,total,20200575
2000,37,Kagawa,1023,3764063,agriculture,1498785
2000,37,Kagawa,1023,3764063,wood,341270
2000,37,Kagawa,1023,3764063,mine,17204375
2000,37,Kagawa,1023,3764063,machine,4223789
2000,37,Kagawa,1023,3764063,chemical,18202666
2000,37,Kagawa,1023,3764063,Smachine,3214918
2000,37,Kagawa,1023,3764063,miscind,866252
2000,37,Kagawa,1023,3764063,special,1097041
2000,37,Kagawa,1023,3764063,total,46649096
2000,38,Ehime,1493,5181398,agriculture,1448416
2000,38,Ehime,1493,5181398,wood,643706
2000,38,Ehime,1493,5181398,mine,10960847
