mode,time_1ibaraki,time_2tokyo,time_3hachinohe,time_4rail,time_5seikan,cost_1ibaraki,cost_2tokyo,cost_3hachinohe,cost_4rail,cost_5seikan,w1_al1,w1_al2,w1_al3,w1_al4,w1_al5,w2_al1,w2_al2,w2_al3,w2_al4,w2_al5,w3_al1,w3_al2,w3_al3,w3_al4,w3_al5,w4_al1,w4_al2,w4_al3,w4_al4,w4_al5,goods
1,21.775,37.023,16.878,25.602,17.567,308.18,342.76,278.16,181.4,340.4,1.72427587,0,0,0,0,0,1.72427587,0,0,0,0,0,1.72427587,0,0,0,0,0,1.72427587,0,7
1,23.928,37.562,19.033,29.432,19.857,343.92,347.6,301.57,196.4,374.65,1.681241237,0,0,0,0,0,1.681241237,0,0,0,0,0,1.681241237,0,0,0,0,0,1.681241237,0,5
1,22.458,36.945,16.845,22.857,17.475,323.55,339.5,274.4,179.9,332.59,4.074523888,0,0,0,0,0,4.074523888,0,0,0,0,0,4.074523888,0,0,0,0,0,4.074523888,0,5
1,23.185,36.345,18.2,25.297,18.89,334.08,327.06,299.73,186.3,361.97,2.694605199,0,0,0,0,0,2.694605199,0,0,0,0,0,2.694605199,0,0,0,0,0,2.694605199,0,5
1,26.53,36.7,21.555,63.178,22.317,392.9,355.16,354.9,237.3,423.46,4.278753601,0,0,0,0,0,4.278753601,0,0,0,0,0,4.278753601,0,0,0,0,0,4.278753601,0,6
1,22.905,33.075,18.015,41.79,18.95,325.67,284.52,285.91,206.4,365.73,3.851258349,0,0,0,0,0,3.851258349,0,0,0,0,0,3.851258349,0,0,0,0,0,3.851258349,0,1
1,26.268,36.968,21.232,65.453,21.993,384.76,358.89,344.3,235.4,412.86,4.579783597,0,0,0,0,0,4.579783597,0,0,0,0,0,4.579783597,0,0,0,0,0,4.579783597,0,6
1,22.935,37.275,17.32,23.428,18.01,331.43,338.58,280.35,195.6,351.49,1.832508913,0,0,0,0,0,1.832508913,0,0,0,0,0,1.832508913,0,0,0,0,0,1.832508913,0,7
1,22.803,35.957,17.907,38.403,18.537,324.6,315.41,286.77,181,344.96,3.760422483,0,0,0,0,0,3.760422483,0,0,0,0,0,3.760422483,0,0,0,0,0,3.760422483,0,1
1,22.33,37.5,16.902,23.462,17.59,318.28,348.09,268.04,200.9,338.7,2.271841607,0,0,0,0,0,2.271841607,0,0,0,0,0,2.271841607,0,0,0,0,0,2.271841607,0,5
1,22.152,37.322,16.723,23.138,17.412,315.22,345.03,264.98,190.4,338.7,1.819543936,0,0,0,0,0,1.819543936,0,0,0,0,0,1.819543936,0,0,0,0,0,1.819543936,0,5
1,21.382,37.537,16.71,31.92,17.398,293.21,354.38,269.14,182.9,339.8,3.852906759,0,0,0,0,0,3.852906759,0,0,0,0,0,3.852906759,0,0,0,0,0,3.852906759,0,6
1,22.292,36.498,16.855,24.872,17.545,318.31,331.12,270.43,192,344.12,3.468199586,0,0,0,0,0,3.468199586,0,0,0,0,0,3.468199586,0,0,0,0,0,3.468199586,0,5
1,23.788,35.372,18.898,44.045,19.778,341.84,331.83,303.74,210.4,376.31,3.827369273,0,0,0,0,0,3.827369273,0,0,0,0,0,3.827369273,0,0,0,0,0,3.827369273,0,1
1,25.658,39.292,20.763,34.573,21.587,370.03,373.71,327.68,205.4,403.61,1.255272505,0,0,0,0,0,1.255272505,0,0,0,0,0,1.255272505,0,0,0,0,0,1.255272505,0,5
1,22.457,37.213,16.843,37.475,17.573,315.45,339.31,260.46,171.3,340.97,3.955350957,0,0,0,0,0,3.955350957,0,0,0,0,0,3.955350957,0,0,0,0,0,3.955350957,0,5
1,22.558,33.777,17.61,22.257,18.372,326.51,306.02,285.26,186.7,354.25,4.51851394,0,0,0,0,0,4.51851394,0,0,0,0,0,4.51851394,0,0,0,0,0,4.51851394,0,1
1,22.645,33.543,17.422,32.743,17.413,323.48,298.68,271.24,185.5,332.58,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,0,0,0,0,4.301029996,0,6
1,22.152,37.322,16.723,23.138,17.412,315.22,345.03,264.98,190.4,338.7,2.376576957,0,0,0,0,0,2.376576957,0,0,0,0,0,2.376576957,0,0,0,0,0,2.376576957,0,5
1,23.515,38.047,18.618,33.26,19.308,348.64,366.25,310.22,198.3,375.42,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,0,0,0,0,3.301029996,0,6
